CEDULA;NOMBRE_ESTUDIANTE;PUNT_LECTURA_CRITICA;PERCENTIL_LECTURA_CRITICA;PUNT_MATEMATICAS;PERCENTIL_MATEMATICAS;PUNT_C_NATURALES;PERCENTIL_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PERCENTIL_SOCIALES_CIUDADANAS;PUNT_INGLES;PERCENTIL_INGLES;PUNT_GLOBAL;PERCENTIL_GLOBAL
61251880;Sebastián Rodríguez;54;57;65;89;41;29;33;11;55;81;244;49
22972832;Nicolás Ramírez;57;67;43;26;46;45;49;55;33;6;238;44
27425593;Samuel Pérez;59;73;72;97;63;92;68;95;59;87;325;94
27750759;Gabriel Flores;47;32;55;64;46;43;43;38;47;58;238;45
45758362;Samuel González;37;8;48;42;44;38;32;7;43;40;202;19
5147034;Samuel López;58;72;45;31;38;19;40;27;35;12;222;33
94245210;Gabriel Torres;49;37;68;93;50;58;51;59;65;92;277;72
45401504;Mateo Flores;64;89;57;70;64;93;67;94;73;97;319;92
27005465;Santiago Rodríguez;45;25;47;38;55;74;52;63;49;66;248;52
41737616;Gabriel López;43;21;45;31;44;39;39;25;36;15;211;25
98359613;Nicolás López;55;60;58;72;52;66;61;84;46;52;278;73
51215788;Daniel Ramírez;64;89;70;96;58;82;64;90;54;80;316;91
68910827;Gabriel Flores;64;89;67;92;59;84;58;78;76;98;315;91
68766010;Nicolás Torres;55;61;34;8;43;35;50;57;45;51;227;37
21866633;Nicolás Torres;59;75;67;92;61;89;59;80;53;78;304;87
38231953;Nicolás Pérez;54;55;53;56;34;8;37;20;60;88;228;38
31730133;Sebastián Flores;57;66;56;66;41;28;47;50;68;94;258;59
33122809;Ángel Sánchez;47;32;56;65;39;21;46;46;39;25;232;40
83370842;Alejandro Torres;70;97;74;98;65;94;70;97;78;99;352;98
18755583;David Rodríguez;66;92;53;55;53;69;56;73;40;29;278;73
70151891;Samuel Martínez;43;20;43;26;48;51;42;34;43;42;220;31
63735987;Sebastián González;43;19;37;12;37;15;31;6;44;47;188;11
71489578;Ángel Rodríguez;40;13;47;37;44;39;35;16;44;44;208;23
50704696;Mateo Ramírez;50;41;44;29;38;20;37;21;35;12;208;23
43351613;Daniel García;66;92;55;65;55;74;61;85;60;88;297;83
93719459;Daniel Rodríguez;57;68;60;77;52;63;56;72;38;21;274;70
98162929;Gabriel López;52;50;56;65;49;56;60;83;54;80;271;68
94787948;Santiago Pérez;43;20;50;45;41;26;39;24;34;9;213;26
26592988;Mateo López;60;78;58;73;58;82;63;89;41;35;292;81
62597697;David Rodríguez;39;10;39;17;33;7;47;48;35;10;196;15
70034427;Nicolás Flores;45;25;52;52;42;30;41;31;52;74;228;37
35215215;Mateo Sánchez;50;41;50;45;40;24;44;39;43;42;229;38
64982069;Gabriel Torres;47;31;27;2;28;1;32;8;39;26;170;3
54651425;Ángel García;38;10;20;1;27;1;32;8;48;60;153;1
81614515;Mateo Ramírez;59;74;75;99;64;93;72;98;48;61;330;95
83564131;Nicolás Torres;48;36;51;49;51;60;44;41;39;27;239;45
47203518;Samuel López;47;30;44;30;43;33;40;28;57;85;223;33
50715493;Ángel Rodríguez;36;7;32;6;35;10;28;3;64;91;176;5
81344938;Gabriel Flores;57;68;50;47;47;48;55;70;42;36;257;59
14451243;Santiago Sánchez;38;9;39;17;30;2;31;7;37;18;173;5
42963613;Sebastián González;35;5;31;4;36;14;27;2;39;23;164;2
90842571;Nicolás Rodríguez;56;64;44;29;44;39;42;33;33;5;227;37
32442504;Ángel Pérez;55;61;51;51;51;61;54;67;46;55;261;62
61837851;Alejandro López;37;8;51;50;50;57;52;61;48;61;238;44
45137884;Nicolás García;36;6;42;24;34;8;39;24;42;38;190;12
20807895;Nicolás Flores;59;74;67;92;57;80;66;93;57;84;309;89
16963544;Samuel Sánchez;42;18;39;16;47;49;34;11;43;42;203;20
18494529;Nicolás Sánchez;38;9;43;26;29;2;38;24;36;14;185;9
37345424;Samuel López;46;28;57;69;30;3;36;16;38;20;210;24
9322004;Sebastián Pérez;34;4;31;5;31;3;28;3;37;17;157;1
45856979;Santiago García;44;24;52;52;45;40;48;51;43;40;235;42
22244543;Alejandro Flores;54;58;35;9;35;11;46;46;35;10;210;24
37800430;Nicolás Pérez;30;1;27;2;30;3;57;76;40;27;182;8
24419893;David González;33;3;25;1;32;5;42;35;38;20;167;3
82828072;Samuel López;44;23;38;14;39;22;39;25;37;16;199;17
17619160;Santiago Ramírez;57;68;56;67;52;64;59;81;41;34;274;70
83911649;David Rodríguez;56;65;44;27;53;67;55;70;57;84;262;62
61096740;Ángel Flores;57;68;49;45;46;44;56;74;53;78;260;61
99951631;Santiago García;58;70;52;54;50;57;50;56;45;52;260;60
4746633;Alejandro Flores;51;46;53;55;35;11;40;28;46;55;224;34
21405263;Daniel Rodríguez;48;33;60;78;44;37;43;38;35;10;238;45
90543693;Ángel Ramírez;67;93;65;89;64;93;66;93;80;100;333;95
82658395;Samuel Rodríguez;35;5;51;50;49;55;40;29;45;49;219;31
27883102;Daniel López;52;49;53;57;41;27;38;23;34;9;225;35
20928572;Mateo González;40;12;40;19;39;20;42;36;31;3;198;16
56504439;Mateo Sánchez;64;87;67;92;68;97;59;80;66;93;323;93
8360674;Sebastián García;53;52;62;82;62;90;52;62;49;64;283;76
3788390;Mateo López;62;82;68;94;61;88;58;78;47;60;305;87
96038160;Ángel Flores;64;87;52;54;51;62;53;66;57;85;276;71
76438851;Nicolás Martínez;56;64;60;78;54;69;56;73;49;66;280;74
21004772;Alejandro González;57;67;56;65;46;46;54;67;41;33;262;62
41816802;Nicolás González;59;74;62;82;54;70;51;59;52;73;281;74
49429789;Nicolás García;43;19;60;78;53;68;41;30;39;24;242;48
88564379;Gabriel González;41;14;50;48;43;35;30;4;36;15;203;20
37159118;David Pérez;47;31;42;25;46;43;51;59;43;42;231;40
12641308;Alejandro Sánchez;50;41;45;31;46;43;37;19;44;46;222;33
90981590;Daniel Torres;61;81;59;75;59;84;65;92;44;48;298;84
48761063;Ángel Ramírez;50;42;49;43;49;54;50;56;55;81;250;53
2455401;Samuel Flores;56;64;67;91;66;96;69;96;75;98;327;94
20602711;Alejandro Torres;58;71;69;94;57;80;56;74;54;79;298;84
78202618;Gabriel Pérez;62;82;52;54;58;81;63;89;67;94;297;83
35567661;Ángel Torres;56;63;54;60;64;93;62;86;50;70;292;81
29169825;Alejandro Martínez;41;16;38;14;42;31;39;26;45;50;202;19
95370973;Mateo González;56;64;60;78;56;77;57;75;42;37;280;74
23276111;Santiago Flores;56;64;52;53;50;58;47;48;39;25;252;55
97700487;Sebastián Rodríguez;46;28;41;20;27;1;25;1;33;7;173;4
65931182;Daniel Rodríguez;61;81;37;12;54;70;52;61;47;56;253;56
77055176;Sebastián Torres;54;57;57;70;31;4;46;47;35;10;230;39
43093059;Sebastián Sánchez;56;65;53;56;41;27;43;37;31;3;235;42
50252865;Gabriel Sánchez;45;26;51;51;47;47;44;41;40;28;231;40
49010659;Sebastián Ramírez;40;14;48;40;43;36;42;35;50;68;219;30
99959953;Nicolás Sánchez;35;4;31;4;37;17;40;28;47;59;183;8
89295634;Ángel García;42;19;40;18;44;36;28;3;40;30;193;13
83607684;Ángel Pérez;44;24;46;33;42;31;35;15;40;30;208;23
16637882;Samuel Pérez;47;31;48;40;52;65;48;51;38;21;240;46
48241353;Daniel Martínez;49;39;40;18;43;35;21;1;30;2;188;11
18359506;Nicolás Torres;43;21;45;32;48;51;42;33;48;62;224;34
20243534;Sebastián Torres;57;66;48;39;47;49;53;66;30;2;248;52
77545898;Ángel Rodríguez;54;57;52;54;47;48;49;53;58;85;255;57
3634726;Daniel Pérez;59;75;69;94;63;91;60;82;69;95;316;91
2117160;Santiago García;68;95;76;99;75;100;74;99;74;98;367;100
28802378;David Flores;78;100;74;98;71;99;71;98;75;98;368;100
49845728;Ángel Sánchez;55;60;43;27;43;35;50;56;50;67;240;46
48398873;Gabriel Sánchez;41;14;38;14;33;6;43;39;36;14;193;13
58207345;David Torres;46;27;47;38;46;43;46;46;55;81;235;42
58854605;Santiago García;44;22;44;29;41;26;39;27;39;27;209;23
33927496;Santiago Flores;41;15;34;7;36;13;32;7;37;17;179;7
92577608;Alejandro López;44;22;46;33;41;28;45;43;43;42;220;31
3997989;Ángel Torres;39;11;36;11;37;16;30;5;43;44;180;7
77098248;David Pérez;72;99;74;99;72;99;75;99;76;98;367;100
99517483;Daniel García;46;28;31;4;47;46;45;43;30;2;207;22
35923538;Ángel González;51;44;44;29;36;14;40;28;60;88;220;32
93330385;Santiago Sánchez;72;99;64;88;70;98;66;93;65;92;339;97
11425985;Gabriel Ramírez;47;33;32;5;30;3;40;27;40;30;187;10
93986945;Nicolás Flores;57;67;66;90;59;84;62;86;56;83;303;86
65202718;David González;47;31;54;60;58;82;48;53;40;28;254;57
33547362;Daniel González;43;20;45;32;37;15;35;13;39;24;200;17
41725370;Mateo Flores;64;87;64;87;65;95;65;92;71;96;325;94
69908606;Alejandro Torres;54;55;50;46;43;33;39;26;49;67;233;41
68827608;Nicolás Torres;58;71;65;89;63;92;57;77;68;94;307;87
61891529;Sebastián Sánchez;78;100;71;96;73;99;73;98;79;99;371;100
11195748;Gabriel García;56;62;49;43;47;48;56;73;43;42;257;58
41412462;Santiago Pérez;52;50;42;23;47;47;49;53;42;35;235;43
56635918;Daniel García;39;11;23;1;40;25;34;12;33;6;170;3
12056674;Mateo Martínez;60;77;49;42;47;49;44;41;42;36;247;51
19580239;Mateo González;44;24;40;19;45;41;33;10;41;31;203;19
68626998;Mateo Rodríguez;49;39;37;12;33;7;38;24;47;59;199;17
1831185;Alejandro Martínez;53;52;32;5;32;5;37;21;40;28;193;13
69164494;David Flores;53;54;60;77;55;74;49;54;53;78;271;68
99076378;Sebastián López;42;18;40;18;43;36;35;13;47;57;203;19
60200053;Ángel Pérez;60;78;42;23;42;32;27;2;38;19;212;25
85008051;Ángel Flores;40;13;40;17;45;42;50;56;32;4;214;27
18609759;Santiago González;49;37;40;19;43;33;32;7;43;41;206;21
60946278;David Rodríguez;52;50;58;71;53;69;39;26;58;86;255;57
55201228;Gabriel López;67;94;67;93;61;88;63;87;65;92;323;93
29617189;David Pérez;37;8;38;14;34;9;43;36;36;15;189;11
48592197;Samuel González;46;29;40;19;49;54;38;24;40;27;215;28
47192695;Samuel Torres;35;5;34;8;35;11;29;3;35;11;167;3
24239732;Samuel Martínez;57;67;48;39;45;41;50;57;38;22;245;50
